datetime,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-02-01 05:00:00+05:00,10.0,3.5,64.0,0.0,,50.0,25.6,,1014.3,,3.0,1738368000.0,4.0,1361.85,0.25,42.16,14.13,6.32,54.9,78.48,22.04
2025-02-01 06:00:00+05:00,10.0,4.8,70.0,0.0,,30.0,3.7,,1015.0,,2.0,1738371600.0,4.0,1388.55,0.42,43.18,15.56,6.68,55.5,77.6,28.37
2025-02-01 07:00:00+05:00,9.8,4.6,70.0,0.0,,16.0,5.5,,1015.8,,2.0,1738375200.0,4.0,2082.82,12.63,62.38,2.03,9.18,74.13,98.73,38.0
2025-02-01 08:00:00+05:00,11.0,5.5,69.0,0.0,,50.0,33.5,,1014.3,,2.0,1738378800.0,5.0,3578.19,61.69,78.14,0.22,12.64,105.28,134.71,41.54
2025-02-01 09:00:00+05:00,12.6,5.5,62.0,0.0,,51.0,25.9,,1015.5,,3.0,1738382400.0,5.0,4646.3,93.88,93.22,3.62,13.71,120.19,153.82,42.05
2025-02-01 10:00:00+05:00,14.2,5.0,54.0,0.0,,52.0,18.5,,1016.7,,2.0,1738386000.0,5.0,4112.24,75.1,91.85,13.95,12.64,104.83,137.84,40.53
2025-02-01 11:00:00+05:00,14.0,6.1,59.0,0.0,,50.0,36.7,,1019.3,,2.0,1738389600.0,4.0,2349.85,29.95,64.43,45.78,13.11,62.31,85.43,27.11
2025-02-01 12:00:00+05:00,16.0,4.7,47.0,0.0,,41.0,11.1,,1017.0,,2.0,1738393200.0,3.0,560.76,1.58,12.0,125.89,12.4,18.78,24.12,5.07
2025-02-01 13:00:00+05:00,16.3,4.3,45.0,0.0,,10.0,13.0,,1016.2,,2.0,1738396800.0,3.0,460.62,0.73,7.45,133.04,11.21,16.63,20.8,3.32
2025-02-01 14:00:00+05:00,18.0,2.7,36.0,0.0,,50.0,22.0,,1016.2,,2.0,1738400400.0,3.0,460.62,0.54,7.97,133.04,11.92,16.44,20.63,3.23
2025-02-01 15:00:00+05:00,15.8,6.5,54.0,0.0,,38.0,14.8,,1016.4,,2.0,1738404000.0,3.0,781.06,1.44,24.33,114.44,15.97,21.8,27.28,7.22
